account_id,customer_id,account_type,open_date,status,balance
76,842,Savings,2023-04-10,Closed,105408.15
77,3572,Checking,2021-07-11,Active,77635.56
78,3189,Investment,2023-05-19,Active,13235.52
79,4680,Investment,2023-08-21,Closed,53759.05
80,4271,Savings,2022-02-18,Active,62366.57
81,3904,Checking,2025-11-17,Active,129793.21
82,2727,Savings,2024-01-04,Active,28843.9
83,2921,Checking,2024-08-11,Active,63586.31
84,3603,Savings,2024-12-16,Active,37413.6
85,1962,Savings,2022-05-22,Active,24303.74
86,3279,Savings,2024-09-12,Active,70484.62
87,3949,Checking,2022-11-18,Active,102357.26
88,4419,Credit Card,2025-07-26,Closed,64449.67
89,3973,Savings,2024-05-23,Active,122310.69
90,1659,Savings,2021-01-14,Active,31074.03
91,3785,Investment,2022-01-02,Closed,64784.63
92,4589,Savings,2025-07-20,Active,47840.04
93,3040,Checking,2025-07-19,Active,48330.31
94,4243,Credit Card,2023-01-30,Closed,16421.05
95,1955,Investment,2021-01-10,Active,141235.84
96,63,Investment,2024-01-02,Active,132957.16
97,66,Investment,2024-08-01,Active,83557.7
98,1368,Investment,2023-09-18,Closed,68654.14
99,950,Credit Card,2021-09-05,Active,48196.39
100,3939,Investment,2024-08-29,Active,663.96
101,4937,Checking,2021-05-06,Closed,136156.3
102,1200,Checking,2021-05-30,Active,107591.03
103,2283,Savings,2021-10-16,Active,101432.78
104,4005,Checking,2022-03-20,Active,110959.48
105,3961,Investment,2025-10-05,Closed,14543.38
106,3500,Investment,2021-09-04,Active,56741.63
107,4997,Credit Card,2023-06-09,Closed,60694.06
108,3730,Credit Card,2023-04-13,Active,91284.72
109,3094,Savings,2023-12-10,Active,43492.02
110,2180,Checking,2021-02-02,Active,23274.7
111,2307,Investment,2021-10-11,Active,29843.36
112,3760,Savings,2024-07-02,Active,19514.03
113,723,Checking,2024-04-01,Active,36959.65
114,109,Checking,2023-07-29,Active,104145.28
115,3918,Savings,2024-10-07,Closed,7985.29
116,935,Investment,2022-11-17,Active,12851.1
117,2694,Checking,2021-03-18,Active,10851.8
118,1241,Checking,2023-05-09,Active,75835.94
119,1103,Credit Card,2023-04-02,Active,100578.98
120,3840,Investment,2022-11-20,Active,33488.23
121,2368,Savings,2023-11-06,Active,74053.49
122,732,Savings,2024-05-14,Active,42911.36
123,3301,Checking,2023-08-25,Active,57968.38
124,4140,Investment,2023-04-27,Active,101977.41
125,1967,Savings,2025-07-22,Active,131551.16
126,751,Savings,2023-10-11,Closed,63780.75
127,1199,Savings,2025-05-14,Active,59230.39
128,2729,Savings,2022-06-25,Closed,100636.68
129,2377,Checking,2021-01-06,Active,103536.31
130,1158,Investment,2021-02-12,Active,13410.92
131,3089,Checking,2025-06-06,Active,13359.46
132,198,Credit Card,2024-02-20,Active,31666.49
133,1174,Checking,2023-10-12,Closed,143176.59
134,1663,Checking,2025-02-03,Active,148258.62
135,2624,Savings,2023-05-12,Closed,89941.77
136,1645,Checking,2025-07-21,Active,136107.64
137,466,Checking,2025-01-19,Active,79185.34
138,4876,Savings,2024-04-20,Active,83180.13
139,4269,Checking,2021-08-22,Active,128114.38
140,4356,Savings,2021-04-02,Active,50720.39
141,2283,Credit Card,2021-05-13,Active,93936.5
142,415,Savings,2024-06-27,Active,138557.63
143,1808,Investment,2024-07-21,Closed,63992.28
144,1987,Investment,2025-04-27,Closed,25973.86
145,203,Checking,2023-11-15,Active,147764.27
146,3516,Checking,2023-12-01,Active,128030.9
147,4687,Investment,2022-09-13,Active,115480.98
148,31,Credit Card,2025-11-21,Active,11510.7
149,724,Credit Card,2021-03-16,Active,101314.31
150,2004,Investment,2021-01-18,Closed,139515.35
151,4954,Credit Card,2023-07-07,Active,14652.34
152,4789,Credit Card,2021-09-13,Active,100256.26
153,4968,Investment,2022-04-22,Closed,110150.26
154,2917,Checking,2024-08-19,Active,61127.64
155,3980,Investment,2023-05-25,Active,76608.52
156,3922,Savings,2023-03-27,Active,61670.47
157,1935,Credit Card,2023-06-05,Active,13623.35
158,3249,Savings,2025-12-06,Closed,138685.6
159,1409,Savings,2024-04-27,Active,64054.58
160,3564,Checking,2023-06-29,Active,67408.17
161,3253,Investment,2021-06-25,Active,25766.71
162,4509,Checking,2024-08-05,Closed,44069.37
163,4782,Credit Card,2022-05-11,Active,20769.07
164,2797,Investment,2024-06-28,Closed,69995.55
165,3554,Investment,2022-10-23,Closed,44809.68
166,4498,Savings,2025-09-14,Active,143959.0
167,4360,Credit Card,2021-02-20,Active,138679.51
168,2384,Investment,2021-09-13,Active,133845.27
169,3175,Investment,2022-11-07,Active,85962.75
170,1140,Credit Card,2024-04-23,Closed,52962.37
171,761,Investment,2023-12-31,Active,97418.93
172,2527,Investment,2023-12-13,Active,8884.33
173,2958,Checking,2025-05-04,Active,107900.7
174,1505,Credit Card,2022-06-21,Active,78666.52
175,3664,Investment,2024-02-24,Active,96098.07
176,408,Savings,2024-07-06,Active,116204.24
177,4831,Checking,2022-02-06,Active,15700.47
178,1229,Checking,2022-11-28,Active,96740.03
179,3207,Checking,2025-09-08,Closed,41647.94
180,4683,Checking,2025-03-25,Closed,99404.36
181,4922,Savings,2022-12-07,Active,24726.62
182,1549,Savings,2023-04-16,Active,95281.19
183,129,Savings,2023-02-27,Active,2539.19
184,4084,Savings,2024-08-01,Active,141092.81
185,2144,Savings,2025-05-28,Closed,97855.64
186,3470,Credit Card,2021-10-12,Closed,54840.27
187,3847,Credit Card,2025-06-12,Active,104744.28
188,2676,Checking,2023-10-11,Active,46108.79
189,4896,Investment,2023-01-23,Closed,38728.97
190,3117,Investment,2024-01-17,Active,54602.11
191,2490,Credit Card,2022-06-03,Active,38530.7
192,538,Investment,2022-07-29,Closed,134500.36
193,4395,Investment,2024-09-19,Active,139158.03
194,4212,Credit Card,2022-02-11,Active,118089.06
195,4601,Savings,2025-02-27,Active,98409.66
196,3515,Savings,2024-07-14,Closed,124902.69
197,1769,Investment,2023-06-09,Active,77878.99
198,1969,Checking,2021-11-12,Closed,71177.96
199,4297,Checking,2023-08-23,Active,36933.63
200,3347,Savings,2025-04-29,Active,45464.52
201,3528,Credit Card,2024-05-07,Active,53726.64
202,2504,Checking,2022-10-16,Active,149181.65
203,262,Savings,2024-05-05,Active,60433.51
204,1354,Checking,2025-02-09,Active,68953.9
205,2297,Savings,2021-12-19,Active,104692.98
206,3661,Investment,2022-04-11,Active,126758.18
207,4836,Credit Card,2022-10-07,Active,100209.67
208,40,Checking,2022-05-10,Active,63545.66
209,2745,Credit Card,2024-02-20,Active,53474.93
210,1087,Checking,2024-11-12,Active,148872.35
211,190,Savings,2024-09-09,Active,47091.96
212,2814,Checking,2022-04-10,Active,136373.93
213,4888,Savings,2022-06-27,Active,112714.22
214,2709,Checking,2022-01-21,Active,17195.46
215,1958,Credit Card,2024-09-07,Active,41578.3
216,1367,Credit Card,2023-04-02,Active,132795.43
217,2165,Investment,2021-11-02,Closed,135963.55
218,2818,Checking,2021-08-16,Active,74638.57
219,4330,Credit Card,2022-01-30,Active,44237.06
220,658,Investment,2022-06-16,Active,119828.86
221,663,Savings,2024-04-12,Active,14518.16
222,3905,Credit Card,2024-09-25,Active,124405.2
223,2562,Savings,2025-03-28,Closed,104931.38
224,3424,Investment,2021-10-05,Active,81800.53
225,882,Investment,2023-05-02,Active,37493.88
226,2050,Checking,2023-03-01,Active,126955.48
227,2601,Investment,2025-08-28,Active,144516.74
228,1367,Investment,2025-04-08,Active,132504.04
229,1424,Investment,2025-03-23,Active,77297.47
230,4307,Investment,2021-08-31,Closed,24387.67
231,4827,Checking,2024-06-26,Closed,85867.48
232,687,Investment,2024-05-20,Active,3516.55
233,1925,Credit Card,2024-06-20,Active,65656.08
234,4048,Credit Card,2021-05-02,Active,5356.67
235,2703,Savings,2025-01-16,Active,137199.74
236,3431,Savings,2023-06-22,Active,142172.6
237,1764,Savings,2022-07-29,Active,46632.18
238,2820,Checking,2025-10-08,Active,97706.83
239,469,Credit Card,2021-10-25,Active,60410.31
240,3001,Savings,2021-04-05,Active,117922.28
241,1946,Savings,2021-08-08,Active,20310.94
242,2964,Credit Card,2025-04-21,Closed,57100.21
243,1514,Checking,2024-05-26,Active,107891.16
244,2399,Checking,2024-04-24,Active,94492.26
245,1590,Savings,2021-06-24,Active,37685.37
246,3052,Checking,2022-04-06,Active,103008.56
247,1285,Investment,2024-09-22,Closed,18246.0
248,879,Checking,2022-10-19,Closed,22488.07
249,4789,Investment,2021-08-23,Active,58779.11
250,2784,Checking,2025-07-15,Closed,32437.61
251,1325,Checking,2023-11-09,Closed,21617.56
252,684,Checking,2025-03-03,Closed,34673.91
253,1275,Checking,2021-11-17,Active,59862.0
254,619,Credit Card,2025-05-31,Closed,33065.76
255,3773,Investment,2023-06-11,Active,116044.97
256,2941,Investment,2021-10-08,Closed,646.33
257,2393,Checking,2022-12-11,Active,129576.62
258,463,Credit Card,2022-06-05,Active,8142.21
259,1455,Savings,2021-01-13,Closed,111488.99
260,4266,Investment,2022-05-15,Active,133114.63
261,2537,Credit Card,2024-07-30,Active,25930.1
262,2591,Investment,2023-10-28,Closed,114304.25
263,387,Checking,2022-05-02,Active,1772.07
264,1686,Investment,2022-07-14,Closed,102073.29
265,2438,Checking,2024-07-04,Active,36393.99
266,3474,Checking,2024-01-15,Active,11789.79
267,1996,Savings,2025-08-28,Closed,26292.21
268,398,Credit Card,2025-11-20,Active,36930.81
269,2301,Checking,2023-02-08,Active,82051.06
270,1309,Checking,2021-11-01,Active,35635.7
271,4481,Credit Card,2021-12-13,Active,26484.99
272,4508,Savings,2025-02-24,Active,132281.83
273,3169,Checking,2023-12-08,Closed,33728.41
274,75,Checking,2022-05-02,Closed,148558.39
275,3117,Checking,2024-05-14,Closed,112488.38
276,4854,Credit Card,2024-12-17,Closed,64547.4
277,1509,Checking,2021-04-05,Active,53361.43
278,662,Checking,2022-06-11,Active,144995.28
279,73,Checking,2023-07-25,Closed,36595.91
280,4593,Checking,2023-01-18,Active,16077.83
281,1776,Checking,2023-07-29,Active,12598.58
282,903,Checking,2025-05-19,Active,119882.86
283,2490,Credit Card,2023-01-11,Active,63337.2
284,3872,Investment,2021-10-18,Active,51095.51
285,942,Savings,2024-05-13,Closed,64454.02
286,642,Investment,2022-04-29,Closed,110287.05
287,953,Investment,2024-11-10,Active,127045.37
288,1971,Credit Card,2024-04-12,Closed,16429.49
289,3291,Investment,2025-04-16,Closed,81813.47
290,207,Credit Card,2023-02-02,Closed,31517.25
291,807,Investment,2022-02-05,Active,123563.06
292,382,Savings,2021-12-06,Active,103264.89
293,2365,Investment,2024-09-28,Active,45637.92
294,3203,Savings,2023-02-20,Closed,63927.31
295,1790,Credit Card,2021-01-02,Active,11206.95
296,3745,Checking,2023-05-03,Active,26530.31
297,838,Savings,2023-02-07,Active,76948.12
298,924,Investment,2024-05-15,Closed,31477.74
299,3406,Investment,2022-06-21,Active,126336.98
300,3181,Investment,2022-10-04,Closed,89176.71
301,3958,Savings,2021-02-14,Closed,82905.37
302,1896,Checking,2021-01-07,Active,81421.91
303,3985,Savings,2024-10-30,Closed,109476.01
304,646,Credit Card,2025-04-17,Active,112149.59
305,1188,Checking,2025-05-16,Active,72641.86
306,473,Credit Card,2023-02-25,Active,42383.85
307,358,Checking,2022-06-26,Closed,111552.61
308,1190,Checking,2024-03-31,Active,81710.81
309,1396,Savings,2021-09-20,Active,72232.23
310,4249,Checking,2022-01-30,Active,80702.8
311,3657,Investment,2024-11-27,Active,127273.36
312,3936,Investment,2022-11-17,Active,124978.3
313,3909,Investment,2022-08-07,Active,47700.71
314,1105,Investment,2021-08-07,Active,17001.64
315,4476,Investment,2025-10-15,Active,148182.79
316,2916,Checking,2023-11-25,Active,149237.68
317,78,Checking,2023-06-06,Closed,32083.27
318,2568,Savings,2023-04-13,Active,148976.44
319,1640,Checking,2025-08-25,Active,89658.46
320,3003,Credit Card,2025-09-02,Closed,122787.43
321,3395,Investment,2021-07-31,Active,91515.96
322,1786,Checking,2023-09-27,Active,86306.83
323,1731,Checking,2023-12-13,Closed,79794.99
324,1366,Checking,2024-11-29,Active,114659.67
325,107,Checking,2023-10-21,Closed,148670.67
326,2852,Savings,2022-01-22,Active,58658.11
327,1594,Checking,2023-05-14,Active,11993.82
328,4317,Credit Card,2022-11-06,Active,113269.79
329,372,Checking,2022-09-28,Active,71695.13
330,1339,Credit Card,2024-05-16,Active,56049.94
331,2728,Savings,2023-10-29,Active,104379.27
332,1921,Checking,2024-10-24,Active,72533.45
333,2282,Savings,2025-02-09,Active,22252.24
334,2640,Credit Card,2025-05-11,Active,65972.83
335,2231,Savings,2021-05-23,Active,83868.89
336,547,Credit Card,2024-07-12,Closed,130213.12
337,1471,Savings,2021-08-06,Active,61169.5
338,306,Investment,2021-09-06,Active,85931.52
339,2140,Credit Card,2023-01-04,Active,123809.78
340,4546,Credit Card,2022-05-31,Active,14525.5
341,3192,Checking,2022-03-22,Active,1797.21
342,3853,Investment,2024-05-09,Active,116387.93
343,378,Investment,2024-08-25,Active,54673.19
344,4746,Investment,2024-01-08,Active,94630.84
345,264,Savings,2024-02-26,Active,69404.89
346,1542,Checking,2022-11-05,Closed,60368.78
347,528,Savings,2021-05-17,Active,144467.17
348,3855,Investment,2022-01-29,Closed,4803.04
349,1115,Investment,2021-09-05,Active,106138.56
350,92,Savings,2024-12-17,Active,20324.32
351,1407,Savings,2024-08-16,Active,14561.61
352,4303,Savings,2025-06-10,Active,62063.31
353,2013,Savings,2022-01-14,Closed,47244.35
354,119,Checking,2021-07-12,Active,43883.3
355,1378,Credit Card,2022-08-31,Active,100575.61
356,253,Credit Card,2021-11-19,Active,121372.22
357,3014,Credit Card,2021-01-15,Closed,61997.23
358,745,Investment,2021-08-30,Active,146991.27
359,3413,Checking,2022-07-16,Active,15906.0
360,4055,Savings,2022-12-21,Active,134639.6
361,3830,Credit Card,2021-03-21,Active,124707.29
362,1100,Credit Card,2022-09-07,Active,102814.39
363,458,Savings,2023-11-08,Closed,129081.65
364,579,Savings,2021-02-25,Active,57807.96
365,2189,Savings,2022-01-07,Active,95308.91
366,1430,Investment,2022-05-11,Closed,106813.19
367,3546,Investment,2024-04-09,Active,116417.48
368,4669,Savings,2022-12-12,Active,80820.29
369,765,Credit Card,2024-03-10,Active,125297.27
370,4439,Savings,2025-05-22,Active,125448.31
371,1889,Credit Card,2025-05-24,Active,42426.18
372,1219,Checking,2022-08-26,Closed,63983.66
373,1456,Savings,2023-11-16,Active,61811.67
374,1652,Credit Card,2025-07-09,Active,142864.66
375,2109,Investment,2022-03-04,Active,15827.88
376,4316,Investment,2023-02-20,Active,109882.38
377,4160,Credit Card,2023-06-10,Active,26771.32
378,2041,Savings,2025-01-29,Closed,141594.6
379,1095,Credit Card,2024-02-10,Active,3613.12
380,2204,Credit Card,2022-02-23,Active,86853.85
381,2846,Credit Card,2021-12-01,Active,131931.12
382,3929,Checking,2025-09-24,Active,85613.07
383,4957,Investment,2025-11-25,Active,49350.49
384,2644,Checking,2024-05-15,Closed,61026.21
385,368,Investment,2022-06-14,Active,120483.88
386,4285,Checking,2022-02-17,Active,114422.31
387,4823,Credit Card,2022-11-28,Active,82796.57
388,3731,Credit Card,2022-03-11,Active,111066.0
389,3293,Investment,2024-09-27,Closed,64740.07
390,4826,Credit Card,2024-01-09,Closed,2951.97
391,873,Checking,2023-07-27,Closed,87844.19
392,697,Credit Card,2025-09-30,Closed,136273.66
393,662,Savings,2021-02-23,Active,119519.6
394,3671,Credit Card,2021-07-30,Closed,72324.95
395,2937,Investment,2023-05-08,Active,507.7
396,2775,Investment,2021-06-06,Active,103090.63
397,3149,Credit Card,2023-10-04,Active,84664.78
398,1481,Credit Card,2022-02-23,Active,145463.68
399,3015,Investment,2024-06-04,Active,3287.66
400,2280,Checking,2022-10-26,Active,117340.21
401,3347,Savings,2025-10-21,Closed,51801.77
402,374,Credit Card,2021-10-05,Active,119413.02
403,3561,Investment,2021-05-28,Active,134976.55
404,3652,Credit Card,2021-09-12,Active,126750.43
405,2707,Savings,2021-04-25,Active,130758.35
406,4019,Savings,2023-05-27,Closed,131244.38
407,2465,Checking,2023-11-20,Closed,114208.38
408,2043,Credit Card,2023-11-26,Active,113931.77
409,3336,Checking,2025-10-27,Closed,29781.42
410,4196,Savings,2022-12-20,Active,108153.52
411,693,Checking,2021-02-14,Active,66171.6
412,4736,Credit Card,2023-02-12,Active,145042.28
413,1708,Credit Card,2021-01-04,Active,22540.75
414,4012,Credit Card,2023-07-31,Closed,113968.51
415,400,Investment,2022-03-19,Active,62535.61
416,423,Investment,2022-02-02,Active,38432.55
417,2305,Credit Card,2022-03-09,Closed,76546.17
418,4897,Savings,2023-02-13,Active,16190.26
419,590,Savings,2024-10-12,Active,33741.37
420,3603,Investment,2024-10-23,Active,71778.28
421,392,Savings,2023-07-08,Active,132943.37
422,2470,Credit Card,2022-07-28,Closed,69501.85
423,3507,Investment,2021-12-21,Active,58524.56
424,3215,Credit Card,2023-06-30,Active,76661.32
425,4541,Investment,2024-05-24,Closed,40112.43
426,4062,Credit Card,2025-05-03,Active,102778.68
427,1962,Credit Card,2022-08-08,Active,88321.26
428,1559,Investment,2023-07-03,Active,131787.55
429,226,Savings,2025-03-23,Closed,58699.36
430,3440,Investment,2024-02-16,Active,4240.82
431,1232,Investment,2021-02-16,Closed,70353.26
432,660,Investment,2022-09-24,Active,30358.33
433,724,Credit Card,2021-06-05,Closed,115096.34
434,1704,Checking,2021-05-02,Active,96680.78
435,382,Credit Card,2024-03-15,Active,119548.16
436,3053,Credit Card,2023-03-27,Active,36704.14
437,2380,Credit Card,2025-01-19,Active,37002.84
438,2733,Investment,2024-09-02,Active,37277.27
439,1477,Savings,2022-02-15,Closed,64760.68
440,262,Checking,2024-07-16,Active,39404.15
441,237,Checking,2025-10-18,Active,9459.54
442,2012,Credit Card,2025-07-27,Active,123758.54
443,638,Investment,2021-06-11,Active,149045.96
444,711,Checking,2024-01-27,Active,75606.17
445,3669,Credit Card,2025-06-01,Closed,64244.59
446,2556,Credit Card,2025-02-04,Closed,67577.26
447,762,Investment,2023-11-12,Closed,100504.97
448,2300,Investment,2025-01-15,Closed,60284.35
449,3141,Savings,2024-01-27,Active,111185.93
450,1091,Investment,2023-01-26,Active,146703.64
451,4802,Checking,2023-02-07,Active,41795.84
452,1345,Savings,2024-12-07,Active,1039.53
453,1479,Savings,2024-03-22,Closed,63710.55
454,2342,Checking,2025-10-18,Active,42096.8
455,3942,Savings,2024-10-25,Closed,26622.91
456,1275,Credit Card,2021-05-18,Active,53505.72
457,1772,Checking,2025-11-29,Closed,56726.42
458,2526,Credit Card,2023-09-20,Closed,130208.42
459,1747,Checking,2024-02-05,Active,68340.55
460,4099,Savings,2022-11-27,Active,68553.47
461,2478,Savings,2025-08-22,Active,28602.65
462,4962,Credit Card,2022-06-22,Active,2994.71
463,1364,Savings,2025-01-18,Closed,96948.39
464,2928,Investment,2021-06-18,Closed,46859.02
465,4071,Credit Card,2023-09-09,Active,30966.15
466,1668,Checking,2023-01-21,Active,1795.07
467,2911,Credit Card,2023-11-19,Active,40496.59
468,3428,Credit Card,2025-05-01,Active,52714.64
469,4320,Credit Card,2025-05-08,Active,104218.09
470,4006,Credit Card,2024-02-02,Active,131585.24
471,475,Credit Card,2025-07-15,Active,137542.72
472,4539,Credit Card,2023-02-08,Active,121243.83
473,907,Investment,2023-02-11,Active,113805.81
474,1457,Savings,2022-03-17,Active,88345.7
475,2549,Checking,2023-12-27,Active,109984.77
476,1607,Checking,2023-12-28,Active,129989.22
477,1549,Savings,2022-06-15,Active,47107.63
478,1287,Credit Card,2021-07-30,Closed,111812.14
479,1984,Checking,2025-04-12,Active,26421.64
480,4219,Savings,2022-10-06,Closed,135738.1
481,2419,Checking,2021-07-05,Active,108697.5
482,722,Savings,2022-02-07,Active,50184.85
483,2920,Savings,2023-01-13,Active,142864.35
484,2628,Checking,2022-04-03,Active,9303.47
485,2518,Checking,2022-08-31,Closed,66422.19
486,721,Checking,2024-10-07,Active,92687.52
487,3337,Credit Card,2023-01-09,Active,48305.12
488,3333,Investment,2025-02-27,Active,112522.2
489,2503,Credit Card,2022-10-29,Active,117571.28
490,1506,Checking,2024-05-08,Active,61288.14
491,4899,Credit Card,2022-07-01,Active,8733.92
492,2514,Checking,2024-11-02,Active,3924.72
493,858,Investment,2024-11-23,Closed,103658.25
494,765,Checking,2021-02-05,Active,24425.58
495,2049,Checking,2021-10-02,Closed,80564.31
496,3420,Savings,2025-08-16,Active,103208.61
497,4090,Investment,2022-12-30,Active,97732.33
498,3122,Investment,2025-09-08,Active,5056.31
499,1586,Credit Card,2024-07-17,Closed,86153.81
500,708,Checking,2025-03-08,Active,52116.77
501,1888,Credit Card,2021-10-12,Closed,19861.18
502,1087,Investment,2024-02-03,Active,105667.15
503,1294,Checking,2021-10-26,Active,144044.38
504,3796,Credit Card,2025-09-28,Active,92544.85
505,1056,Savings,2022-06-05,Closed,140921.7
506,1186,Credit Card,2024-06-03,Active,44638.62
507,1526,Checking,2025-01-08,Active,101695.27
508,4193,Checking,2025-07-03,Active,137072.36
509,4228,Checking,2023-03-30,Closed,7065.71
510,4526,Savings,2021-02-28,Active,39691.04
511,3429,Credit Card,2025-05-23,Active,133018.13
512,2159,Investment,2023-07-13,Active,6727.88
513,4748,Credit Card,2021-02-17,Active,95367.37
514,4788,Credit Card,2023-11-01,Closed,59125.31
515,2127,Checking,2022-02-23,Active,135136.72
516,2698,Credit Card,2024-07-08,Closed,120886.24
517,1807,Investment,2023-11-21,Closed,109336.78
518,3121,Investment,2022-12-13,Active,11573.3
519,3190,Checking,2024-09-11,Closed,97249.57
520,1131,Checking,2025-09-24,Active,148847.38
521,1586,Investment,2024-02-13,Active,138354.68
522,3949,Credit Card,2025-08-29,Closed,135431.34
523,653,Checking,2025-03-24,Active,76586.49
524,1699,Checking,2022-11-06,Active,128597.26
525,4269,Credit Card,2024-04-16,Active,84237.86
526,4666,Credit Card,2022-08-17,Active,88573.64
527,1000,Investment,2022-06-16,Active,143576.46
528,1912,Investment,2022-09-23,Active,84338.74
529,4822,Checking,2023-01-05,Closed,71397.7
530,462,Credit Card,2025-08-07,Active,19351.14
531,3227,Checking,2023-10-08,Active,129747.45
532,4236,Investment,2023-04-08,Active,57309.68
533,1223,Savings,2024-04-29,Active,116257.61
534,4382,Savings,2024-09-20,Active,79067.8
535,1350,Checking,2025-01-08,Active,79277.88
536,1264,Credit Card,2022-05-18,Active,6739.3
537,4178,Credit Card,2023-11-20,Closed,80509.09
538,2442,Investment,2024-10-27,Closed,136043.86
539,4057,Checking,2023-10-26,Closed,42142.01
540,4520,Investment,2022-03-25,Active,110242.87
541,4707,Investment,2022-10-29,Active,22410.62
542,1893,Savings,2023-01-02,Active,140675.43
543,2641,Credit Card,2022-12-07,Active,138602.98
544,4003,Investment,2022-07-17,Active,13504.35
545,528,Credit Card,2024-12-16,Closed,102743.68
546,1282,Investment,2023-05-28,Active,114211.64
547,966,Investment,2025-06-06,Closed,38947.2
548,1836,Investment,2022-07-04,Active,118175.99
549,590,Credit Card,2025-04-21,Closed,46946.74
550,915,Investment,2024-06-06,Closed,79643.57
551,3497,Checking,2022-05-02,Active,85075.82
552,1693,Savings,2022-12-20,Active,125343.0
553,3245,Savings,2025-05-26,Active,13336.29
554,2682,Investment,2024-03-24,Active,26296.52
555,2301,Savings,2021-10-24,Active,114019.02
556,1762,Savings,2022-09-18,Closed,57544.78
557,4533,Credit Card,2021-04-10,Closed,98408.57
558,404,Checking,2021-06-19,Active,1711.95
559,1672,Credit Card,2022-02-07,Active,11262.43
560,2734,Savings,2025-11-18,Closed,112288.78
561,3070,Investment,2025-06-16,Closed,148021.3
562,3982,Credit Card,2021-08-02,Active,39551.6
563,3415,Credit Card,2021-02-02,Active,88072.7
564,3220,Investment,2021-03-25,Closed,128440.91
565,3301,Savings,2024-07-20,Closed,20836.94
566,2726,Savings,2025-03-15,Closed,138814.23
567,2449,Checking,2024-07-02,Active,90095.47
568,1255,Credit Card,2024-12-26,Closed,66944.9
