customer_id,customer_name,age,gender,state,customer_segment,join_date,annual_income
152,Customer 152,71,Female,Michigan,Standard,2021-12-06,126613.76
153,Customer 153,65,Female,Georgia,Standard,2023-08-18,140103.88
154,Customer 154,49,Male,Michigan,High Value,2023-10-09,225673.04
155,Customer 155,41,Other,Florida,High Value,2025-02-13,50091.92
156,Customer 156,74,Other,Michigan,High Value,2024-10-12,249905.93
157,Customer 157,73,Female,Michigan,High Value,2024-10-08,197883.98
158,Customer 158,51,Other,Virginia,Standard,2021-12-25,69927.61
159,Customer 159,48,Other,Virginia,High Value,2024-04-13,133402.29
160,Customer 160,42,Female,Texas,Mass Affluent,2023-04-17,102556.81
161,Customer 161,52,Female,Georgia,High Value,2024-11-21,130061.7
162,Customer 162,37,Female,Texas,Entry,2022-10-07,220280.33
163,Customer 163,21,Other,North Carolina,Entry,2025-08-17,120914.47
164,Customer 164,54,Female,Michigan,Entry,2022-01-20,167589.92
165,Customer 165,24,Male,Florida,Mass Affluent,2025-04-06,234088.01
166,Customer 166,65,Female,Texas,High Value,2023-06-17,244092.3
167,Customer 167,72,Male,California,Standard,2024-05-31,151184.58
168,Customer 168,47,Male,New York,High Value,2024-02-06,131518.54
169,Customer 169,62,Male,Virginia,Standard,2021-08-29,141951.84
170,Customer 170,47,Female,Virginia,Mass Affluent,2022-07-14,130493.02
171,Customer 171,45,Male,Michigan,Mass Affluent,2021-10-24,220085.93
172,Customer 172,70,Female,Illinois,Standard,2022-07-20,210520.88
173,Customer 173,67,Female,Michigan,Entry,2022-08-03,220357.33
174,Customer 174,55,Female,Illinois,Standard,2023-07-04,151421.83
175,Customer 175,45,Female,Illinois,Mass Affluent,2024-01-18,245770.42
176,Customer 176,57,Female,New York,Entry,2022-05-05,39602.41
177,Customer 177,51,Other,Georgia,Entry,2025-03-06,247451.08
178,Customer 178,73,Other,California,Entry,2025-06-11,242261.38
179,Customer 179,53,Other,Illinois,High Value,2021-09-16,222321.88
180,Customer 180,27,Other,Virginia,High Value,2023-06-21,188937.64
181,Customer 181,62,Male,Texas,Entry,2023-04-20,201935.56
182,Customer 182,42,Other,Georgia,High Value,2022-06-27,217388.36
183,Customer 183,64,Other,Georgia,Standard,2025-10-12,167895.82
184,Customer 184,52,Other,Ohio,High Value,2025-04-05,81649.45
185,Customer 185,39,Male,Texas,Entry,2024-11-02,245234.3
186,Customer 186,61,Other,Texas,Entry,2025-04-07,66600.25
187,Customer 187,22,Male,Illinois,High Value,2022-09-06,94540.91
188,Customer 188,48,Male,New York,Entry,2023-02-07,154504.17
189,Customer 189,32,Male,California,High Value,2025-06-12,164088.19
190,Customer 190,60,Other,New York,Entry,2023-02-23,230822.38
191,Customer 191,35,Female,Florida,Entry,2021-10-21,86171.88
192,Customer 192,72,Female,Florida,Mass Affluent,2021-01-20,46249.62
193,Customer 193,58,Female,Georgia,Standard,2022-12-09,130503.88
194,Customer 194,33,Female,Virginia,High Value,2022-09-11,82185.25
195,Customer 195,43,Other,Florida,Standard,2024-03-17,34826.71
196,Customer 196,63,Female,Florida,High Value,2025-08-27,154504.38
197,Customer 197,70,Other,Ohio,Entry,2024-11-05,213224.56
198,Customer 198,70,Male,Michigan,Standard,2022-08-10,78181.0
199,Customer 199,60,Female,California,High Value,2022-01-25,228748.81
200,Customer 200,23,Female,Virginia,High Value,2024-08-16,157506.24
201,Customer 201,29,Male,Florida,Standard,2025-02-08,194445.79
202,Customer 202,33,Male,North Carolina,Standard,2021-12-26,146787.52
203,Customer 203,74,Male,Florida,Entry,2022-07-13,242824.5
204,Customer 204,68,Female,Texas,Entry,2022-08-28,241836.52
205,Customer 205,69,Male,Georgia,Standard,2021-10-16,49866.63
206,Customer 206,21,Female,North Carolina,High Value,2023-03-20,130052.93
207,Customer 207,68,Other,Florida,Entry,2024-10-09,210931.81
208,Customer 208,27,Other,New York,Entry,2023-01-31,35505.42
209,Customer 209,41,Other,New York,High Value,2024-02-24,169788.86
210,Customer 210,65,Female,Georgia,High Value,2023-08-09,60750.94
211,Customer 211,40,Female,Texas,High Value,2021-03-18,81656.01
212,Customer 212,29,Female,Virginia,Standard,2024-01-06,177506.97
213,Customer 213,65,Other,Georgia,Mass Affluent,2025-03-02,224791.03
214,Customer 214,27,Female,Michigan,Entry,2024-09-03,236591.67
215,Customer 215,23,Other,Illinois,Mass Affluent,2022-07-27,127544.28
216,Customer 216,75,Female,Texas,Standard,2022-04-29,149782.49
217,Customer 217,43,Male,Georgia,Standard,2024-08-13,71757.88
218,Customer 218,75,Female,Texas,Mass Affluent,2021-09-08,171174.98
219,Customer 219,22,Male,Illinois,Mass Affluent,2024-05-07,247540.6
220,Customer 220,57,Male,Texas,Mass Affluent,2025-05-31,159004.28
221,Customer 221,35,Female,California,High Value,2025-07-24,91000.47
222,Customer 222,29,Other,Florida,Mass Affluent,2021-10-24,54183.8
223,Customer 223,22,Male,Ohio,Standard,2025-11-10,203796.63
224,Customer 224,58,Female,Ohio,Mass Affluent,2022-05-03,88380.85
225,Customer 225,68,Female,North Carolina,High Value,2021-09-17,194046.36
226,Customer 226,49,Female,North Carolina,High Value,2023-09-03,129441.19
227,Customer 227,60,Male,North Carolina,Standard,2022-03-30,130769.35
228,Customer 228,24,Female,Georgia,Entry,2021-03-05,180941.45
229,Customer 229,66,Female,Texas,High Value,2023-10-02,100864.6
230,Customer 230,25,Male,Florida,Standard,2021-10-31,113798.97
231,Customer 231,54,Female,Virginia,Entry,2024-05-08,51819.26
232,Customer 232,28,Other,North Carolina,Mass Affluent,2024-12-08,124615.39
233,Customer 233,47,Female,Virginia,Entry,2022-04-13,121517.72
234,Customer 234,41,Female,Illinois,Standard,2021-07-14,112346.23
235,Customer 235,64,Female,Texas,High Value,2021-11-09,212989.82
236,Customer 236,48,Male,Illinois,Mass Affluent,2021-07-10,152401.56
237,Customer 237,56,Other,Illinois,High Value,2024-04-16,120377.9
238,Customer 238,63,Female,Ohio,Standard,2025-11-25,162090.22
239,Customer 239,27,Other,North Carolina,Mass Affluent,2022-12-22,64040.64
240,Customer 240,35,Male,Illinois,Standard,2023-09-15,55274.77
241,Customer 241,57,Male,Georgia,High Value,2022-07-25,163978.88
242,Customer 242,74,Other,Florida,High Value,2024-09-09,69691.54
243,Customer 243,69,Female,Illinois,Standard,2024-12-10,31343.27
244,Customer 244,30,Other,Georgia,High Value,2025-11-17,61212.42
245,Customer 245,22,Male,North Carolina,Mass Affluent,2024-07-20,112762.77
246,Customer 246,42,Male,Illinois,Standard,2023-07-19,188751.11
247,Customer 247,57,Other,Texas,High Value,2025-05-10,64227.58
248,Customer 248,60,Male,Texas,Standard,2025-03-26,127484.85
249,Customer 249,52,Other,Virginia,Entry,2023-05-19,90096.71
250,Customer 250,53,Male,Illinois,Entry,2025-03-27,54395.75
251,Customer 251,64,Other,Virginia,Standard,2024-10-20,39991.82
252,Customer 252,59,Male,Ohio,Mass Affluent,2023-03-21,96312.26
253,Customer 253,70,Male,Florida,Standard,2022-03-09,102186.92
254,Customer 254,52,Other,Georgia,Mass Affluent,2021-01-16,58420.85
255,Customer 255,66,Male,North Carolina,Standard,2023-12-27,45856.61
256,Customer 256,68,Male,Georgia,High Value,2025-10-31,131145.94
257,Customer 257,41,Other,Georgia,Entry,2021-06-09,186089.77
258,Customer 258,39,Male,Georgia,High Value,2023-05-06,242563.93
259,Customer 259,72,Other,Virginia,Standard,2021-12-18,49388.57
260,Customer 260,27,Male,Georgia,Entry,2025-09-26,145271.76
261,Customer 261,40,Other,Illinois,Mass Affluent,2023-03-22,103275.1
262,Customer 262,25,Other,Texas,Mass Affluent,2021-12-11,229303.0
263,Customer 263,43,Other,California,Mass Affluent,2022-12-17,52617.0
264,Customer 264,33,Male,Michigan,Mass Affluent,2022-06-09,197247.37
265,Customer 265,25,Male,Virginia,Entry,2024-09-04,195978.08
266,Customer 266,58,Female,Michigan,Standard,2025-04-06,220134.31
267,Customer 267,41,Male,Virginia,High Value,2024-07-08,133162.64
268,Customer 268,40,Female,Michigan,High Value,2024-07-17,107427.29
269,Customer 269,40,Female,Virginia,High Value,2021-06-01,42515.81
270,Customer 270,39,Male,Texas,Entry,2025-08-31,131796.56
271,Customer 271,71,Other,Ohio,Entry,2024-02-10,229990.99
272,Customer 272,62,Male,Illinois,Entry,2024-03-16,140300.81
273,Customer 273,49,Male,Illinois,High Value,2021-05-07,141000.78
274,Customer 274,23,Male,Virginia,Entry,2021-12-20,145295.08
275,Customer 275,31,Female,Illinois,Standard,2024-06-02,115231.64
276,Customer 276,42,Other,Michigan,High Value,2025-05-06,203629.92
277,Customer 277,42,Male,Illinois,High Value,2024-08-18,152751.91
278,Customer 278,39,Female,Michigan,Mass Affluent,2023-03-03,103339.65
279,Customer 279,63,Male,Illinois,Standard,2024-04-08,242893.23
280,Customer 280,63,Female,California,High Value,2024-12-01,98108.02
281,Customer 281,62,Female,California,High Value,2023-02-11,172125.46
282,Customer 282,53,Female,Ohio,Standard,2023-05-18,97950.54
283,Customer 283,42,Female,New York,Mass Affluent,2022-03-15,249994.86
284,Customer 284,25,Female,Texas,High Value,2021-11-14,175624.43
285,Customer 285,70,Other,California,Entry,2025-11-30,63935.61
286,Customer 286,74,Other,Michigan,Mass Affluent,2022-01-06,188660.26
287,Customer 287,47,Female,New York,Entry,2021-03-31,164330.99
288,Customer 288,68,Female,New York,Mass Affluent,2025-03-21,98082.94
289,Customer 289,71,Female,New York,Standard,2025-07-15,179227.5
290,Customer 290,49,Female,Florida,Entry,2024-03-14,140639.47
291,Customer 291,31,Male,Michigan,Mass Affluent,2023-05-08,222060.42
292,Customer 292,62,Female,Illinois,High Value,2021-04-17,186508.21
293,Customer 293,75,Male,Florida,High Value,2023-11-23,197885.7
294,Customer 294,49,Other,California,Entry,2022-07-13,50176.99
295,Customer 295,73,Female,Illinois,High Value,2022-03-31,121277.32
296,Customer 296,53,Female,New York,Entry,2023-03-23,248795.58
297,Customer 297,35,Male,Illinois,High Value,2023-02-07,214618.78
298,Customer 298,42,Male,California,High Value,2024-08-24,93113.47
299,Customer 299,51,Other,California,Entry,2025-08-27,128692.32
300,Customer 300,26,Male,Florida,Mass Affluent,2021-01-11,213691.88
301,Customer 301,67,Other,North Carolina,Entry,2024-01-29,54461.11
302,Customer 302,36,Female,Texas,High Value,2022-08-14,82456.69
303,Customer 303,71,Other,Virginia,High Value,2024-08-01,54388.74
304,Customer 304,59,Other,Ohio,Mass Affluent,2023-10-21,188079.75
305,Customer 305,48,Male,Michigan,Standard,2022-08-20,82924.13
306,Customer 306,32,Other,Texas,Standard,2023-05-04,44889.45
307,Customer 307,55,Other,North Carolina,High Value,2023-12-14,115899.82
308,Customer 308,23,Other,Georgia,Standard,2023-08-21,85803.06
309,Customer 309,43,Male,Illinois,Mass Affluent,2021-02-03,191247.02
310,Customer 310,27,Other,Illinois,Mass Affluent,2024-07-10,39753.85
311,Customer 311,42,Other,California,Entry,2024-01-24,245780.22
312,Customer 312,61,Male,California,High Value,2023-09-08,187529.91
313,Customer 313,23,Female,New York,High Value,2023-07-27,204044.03
314,Customer 314,41,Female,North Carolina,Entry,2021-03-27,247606.99
315,Customer 315,51,Female,Ohio,Mass Affluent,2024-01-18,92944.4
316,Customer 316,70,Male,Illinois,Standard,2025-11-01,57384.5
317,Customer 317,48,Female,Virginia,Entry,2023-01-24,104588.06
318,Customer 318,52,Other,Virginia,Standard,2022-01-18,233348.3
319,Customer 319,38,Male,Georgia,High Value,2023-11-30,124733.57
320,Customer 320,32,Other,Florida,Standard,2025-08-12,52571.54
321,Customer 321,63,Female,Florida,Entry,2022-11-03,162576.76
322,Customer 322,31,Other,Virginia,Standard,2023-05-23,128368.53
323,Customer 323,43,Other,Georgia,Standard,2025-01-28,170683.25
324,Customer 324,24,Male,Georgia,Standard,2025-06-09,142878.92
325,Customer 325,64,Male,Ohio,Mass Affluent,2025-03-16,216707.25
326,Customer 326,71,Female,Ohio,Mass Affluent,2024-10-20,44791.34
327,Customer 327,62,Female,Illinois,Entry,2025-05-14,238882.76
328,Customer 328,59,Male,Virginia,Standard,2021-03-08,111842.94
329,Customer 329,25,Other,California,Standard,2025-04-12,117567.49
330,Customer 330,38,Male,Texas,High Value,2024-08-23,191848.47
331,Customer 331,54,Female,North Carolina,High Value,2023-10-20,87590.87
332,Customer 332,66,Female,New York,Standard,2022-06-18,182675.74
333,Customer 333,33,Male,California,High Value,2023-10-03,129449.39
334,Customer 334,49,Male,Illinois,Standard,2024-12-31,186098.91
335,Customer 335,55,Female,Florida,Mass Affluent,2024-02-01,186598.0
336,Customer 336,61,Male,Illinois,Mass Affluent,2024-12-05,56699.74
337,Customer 337,71,Male,New York,Entry,2022-02-16,35782.49
338,Customer 338,57,Female,Virginia,Mass Affluent,2024-02-09,164628.64
339,Customer 339,25,Female,Georgia,Entry,2021-06-26,145653.04
340,Customer 340,47,Other,Texas,Mass Affluent,2025-04-25,243923.54
341,Customer 341,25,Female,Virginia,Standard,2024-08-08,58233.61
342,Customer 342,70,Other,Michigan,Mass Affluent,2025-08-25,198911.96
343,Customer 343,48,Other,Ohio,High Value,2021-09-22,143982.47
344,Customer 344,31,Male,Illinois,Mass Affluent,2022-09-15,106125.08
345,Customer 345,39,Male,Florida,Mass Affluent,2023-11-29,169712.56
346,Customer 346,38,Male,Florida,High Value,2024-02-03,140566.09
347,Customer 347,58,Other,California,Mass Affluent,2021-12-12,174921.23
348,Customer 348,59,Female,Michigan,High Value,2025-01-15,211551.98
349,Customer 349,26,Male,Michigan,Standard,2021-02-28,173248.6
350,Customer 350,57,Female,Michigan,High Value,2025-04-20,139568.37
351,Customer 351,55,Female,Florida,Entry,2024-07-08,83873.14
352,Customer 352,64,Female,Florida,Entry,2025-07-12,46054.07
353,Customer 353,31,Female,Georgia,Entry,2021-05-03,132177.27
354,Customer 354,59,Male,Illinois,Standard,2022-11-28,191523.95
355,Customer 355,43,Female,California,Standard,2025-10-29,143295.63
356,Customer 356,41,Male,Virginia,High Value,2021-08-06,88843.77
357,Customer 357,30,Male,Ohio,Standard,2022-05-23,237984.68
358,Customer 358,60,Female,New York,Mass Affluent,2025-11-05,208965.13
359,Customer 359,67,Female,New York,Mass Affluent,2024-03-29,139618.42
360,Customer 360,50,Female,Florida,Entry,2023-11-21,35098.79
361,Customer 361,53,Female,New York,Mass Affluent,2023-03-17,158335.7
362,Customer 362,24,Female,Virginia,Entry,2021-04-10,92864.64
363,Customer 363,75,Male,Georgia,Mass Affluent,2021-01-17,224140.26
364,Customer 364,44,Female,Illinois,High Value,2025-01-29,118127.96
365,Customer 365,56,Male,Illinois,Standard,2024-03-13,46176.98
366,Customer 366,49,Other,Florida,High Value,2023-10-30,58305.95
367,Customer 367,46,Female,Illinois,Standard,2021-07-18,196092.34
368,Customer 368,59,Other,Georgia,High Value,2022-02-12,39966.74
369,Customer 369,66,Female,Virginia,Entry,2021-10-08,62766.95
370,Customer 370,29,Female,Michigan,Standard,2023-11-22,65750.45
371,Customer 371,68,Female,Michigan,Standard,2024-06-16,141609.3
372,Customer 372,55,Female,Michigan,Standard,2023-11-10,134476.37
373,Customer 373,44,Female,Texas,Entry,2021-02-04,158414.47
374,Customer 374,67,Other,Ohio,Entry,2025-06-20,88416.7
375,Customer 375,71,Other,Michigan,Mass Affluent,2024-09-04,188708.02
376,Customer 376,51,Male,North Carolina,Entry,2024-04-10,62510.66
377,Customer 377,36,Male,Michigan,High Value,2024-10-26,71972.55
378,Customer 378,41,Female,California,Entry,2023-06-23,181910.06
379,Customer 379,53,Other,Virginia,High Value,2023-04-21,185270.55
380,Customer 380,34,Other,Illinois,Entry,2023-11-29,145604.97
381,Customer 381,32,Female,North Carolina,Standard,2022-10-05,150180.11
382,Customer 382,70,Other,Florida,Entry,2024-10-16,72298.12
383,Customer 383,38,Other,Florida,Mass Affluent,2022-05-20,237126.82
384,Customer 384,70,Female,New York,Entry,2022-09-02,99748.96
385,Customer 385,56,Other,Florida,Standard,2022-12-16,56812.3
386,Customer 386,55,Female,Georgia,Standard,2024-10-17,240013.95
387,Customer 387,30,Female,Ohio,Standard,2025-07-06,240169.02
388,Customer 388,43,Female,Florida,Entry,2021-06-11,77077.1
389,Customer 389,55,Female,North Carolina,Standard,2025-08-23,60200.05
390,Customer 390,68,Other,New York,Mass Affluent,2024-06-14,41168.39
391,Customer 391,35,Other,New York,High Value,2023-12-24,52043.55
392,Customer 392,66,Female,Texas,Mass Affluent,2022-11-08,31139.92
393,Customer 393,31,Female,Virginia,Entry,2024-02-02,173118.51
394,Customer 394,39,Female,Florida,High Value,2025-03-29,229746.13
395,Customer 395,62,Other,New York,High Value,2021-07-03,230910.54
396,Customer 396,47,Male,Ohio,Entry,2021-12-25,203351.34
397,Customer 397,68,Female,Ohio,High Value,2022-01-17,95646.29
398,Customer 398,27,Female,Florida,Entry,2024-05-19,247601.88
399,Customer 399,54,Female,California,Entry,2024-01-18,90024.16
400,Customer 400,28,Female,California,Entry,2025-07-15,172622.77
401,Customer 401,32,Male,Illinois,Standard,2025-01-11,154911.87
402,Customer 402,33,Male,Michigan,Entry,2025-03-31,211937.76
403,Customer 403,41,Male,Georgia,High Value,2023-11-22,70651.86
404,Customer 404,51,Female,New York,High Value,2021-10-15,87372.76
405,Customer 405,49,Female,Illinois,Standard,2022-04-28,158141.37
